Key,Context,Variables,en,es,fr,pt,de,af,zu,st
"common.whatsapp_connected","common","","WhatsApp Connected!","","","","","","",""
"common.whatsapp_updates_enabled","common","","You can now receive school updates via WhatsApp.","","","","","","",""
"common.menu","common","","Menu","","","","","","",""
"common.my_profile","common","","My Profile","","","","","","",""
"common.account_settings_subtitle","common","","Account settings, profile picture & biometrics","","","","","","",""
"common.school_settings_modal_subtitle","common","","Configure school preferences & policies","","","","","","",""
"common.classes","common","","classes","","","","","","",""
"common.students","common","","students","","","","","","",""
"common.email","common","","Email","","","","","","",""
"common.status","common","","Status","","","","","","",""
"common.go_now","common","","Go now","","","","","","",""
"navigation.dashboard","Navigation","","Dashboard","","","","","","",""
"navigation.profile","Navigation","","Profile","","","","","","",""
"navigation.settings","Navigation","","Settings","","","","","","",""
"navigation.account","Navigation","","Account","","","","","","",""
"navigation.logout","Navigation","","Sign Out","","","","","","",""
"navigation.back","Navigation","","Back","","","","","","",""
"navigation.next","Navigation","","Next","","","","","","",""
"navigation.cancel","Navigation","","Cancel","","","","","","",""
"navigation.save","Navigation","","Save","","","","","","",""
"navigation.edit","Navigation","","Edit","","","","","","",""
"navigation.delete","Navigation","","Delete","","","","","","",""
"navigation.add","Navigation","","Add","","","","","","",""
"navigation.search","Navigation","","Search","","","","","","",""
"navigation.retry","Navigation","","Retry","","","","","","",""
"navigation.close","Navigation","","Close","","","","","","",""
"navigation.switch_account","Navigation","","Switch account","","","","","","",""
"auth.signIn","Authentication","","Sign In","","","","","","",""
"auth.signUp","Authentication","","Sign Up","","","","","","",""
"auth.signOut","Authentication","","Sign Out","","","","","","",""
"auth.forgotPassword","Authentication","","Forgot Password","","","","","","",""
"auth.resetPassword","Authentication","","Reset Password","","","","","","",""
"auth.email","Authentication","","Email","","","","","","",""
"auth.password","Authentication","","Password","","","","","","",""
"auth.confirmPassword","Authentication","","Confirm Password","","","","","","",""
"auth.firstName","Authentication","","First Name","","","","","","",""
"auth.lastName","Authentication","","Last Name","","","","","","",""
"auth.loading","Authentication","","Loading...","","","","","","",""
"auth.signingIn","Authentication","","Signing in...","","","","","","",""
"auth.signingUp","Authentication","","Creating account...","","","","","","",""
"auth.invalidCredentials","Authentication","","Invalid email or password","","","","","","",""
"auth.accountCreated","Authentication","","Account created successfully","","","","","","",""
"auth.passwordResetSent","Authentication","","Password reset link sent to your email","","","","","","",""
"auth.remember_me","Authentication","","Remember me","","","","","","",""
"auth.dont_have_account","Authentication","","Don't have an account?","","","","","","",""
"auth.sign_in.enter_email_password","Authentication","","Please enter email and password","","","","","","",""
"auth.sign_in.failed","Authentication","","Sign In Failed","","","","","","",""
"auth.sign_in.signing_in","Authentication","","Signing In...","","","","","","",""
"auth.sign_in.cta","Authentication","","Sign In","","","","","","",""
"auth.sign_in.no_saved_credentials","Authentication","","No saved credentials found. Please sign in with your password.","","","","","","",""
"auth.biometric.prompt","Authentication","","Sign in to EduDash Pro","","","","","","",""
"auth.biometric.use_face_id","Authentication","","Use Face ID","","","","","","",""
"auth.biometric.use_fingerprint","Authentication","","Use Fingerprint","","","","","","",""
"auth.biometric.use_biometric","Authentication","","Use Biometric","","","","","","",""
"auth.biometric.enabled_for","Authentication","","Biometric login enabled","","","","","","",""
"auth.biometric.authenticating","Authentication","","Authenticating","","","","","","",""
"auth.biometric.authenticating_face","Authentication","","Authenticating with Face ID","","","","","","",""
"auth.biometric.authenticating_fingerprint","Authentication","","Authenticating with Fingerprint","","","","","","",""
"auth.biometric.please_verify","Authentication","","Please verify your identity","","","","","","",""
"auth.biometric_not_available.title","Authentication","","Biometric Not Available","","","","","","",""
"auth.biometric_not_available.desc","Authentication","","Please use your password to sign in.","","","","","","",""
"auth.biometric_failed.title","Authentication","","Authentication Failed","","","","","","",""
"auth.biometric_failed.desc","Authentication","","Biometric authentication failed","","","","","","",""
"auth.biometric_failed.unexpected","Authentication","","An error occurred during biometric authentication","","","","","","",""
"auth.oauth.failed_start","Authentication","","Failed to start social login","","","","","","",""
"auth.oauth.config_error","Authentication","","OAuth configuration error. Please contact support.","","","","","","",""
"auth.oauth.unavailable","Authentication","","Sign-in Unavailable","","","","","","",""
"auth.oauth.error","Authentication","","Sign-in Error","","","","","","",""
"auth.sign_up_parent","Authentication","","Sign up as Parent","","","","","","",""
"auth.sign_up_teacher","Authentication","","Sign up as Teacher","","","","","","",""
"auth.school_register_q","Authentication","","Looking to register a school?","","","","","","",""
"roles.parent","roles","","Parent","","","","","","",""
"roles.teacher","roles","","Teacher","","","","","","",""
"roles.principal","roles","","Principal","","","","","","",""
"roles.admin","roles","","Administrator","","","","","","",""
"roles.superAdmin","roles","","Super Admin","","","","","","",""
"admin.header.title","Admin","","🎛️ Admin Dashboard","","","","","","",""
"admin.header.subtitle","Admin","","Real-time school management","","","","","","",""
"admin.stats.total_users","Admin","","Total Users","","","","","","",""
"admin.stats.active_today","Admin","","Active Today","","","","","","",""
"admin.stats.pending_invites","Admin","","Pending Invites","","","","","","",""
"admin.stats.security_alerts","Admin","","Security Alerts","","","","","","",""
"admin.user_management.title","Admin","","👥 User Management","","","","","","",""
"admin.pending_invitations","Admin","","📤 Pending Invitations","","","","","","",""
"admin.resend","Admin","","📤 Resend","","","","","","",""
"admin.cancel","Admin","","❌ Cancel","","","","","","",""
"admin.recent_activity","Admin","","📊 Recent Activity","","","","","","",""
"admin.quick_actions","Admin","","⚡ Quick Actions","","","","","","",""
"admin.security_settings_title","Admin","","🔐 Security Settings","","","","","","",""
"admin.security_settings_label","Admin","","Security Settings","","","","","","",""
"admin.opening_security","Admin","","Opening security management...","","","","","","",""
"admin.view_analytics","Admin","","View Analytics","","","","","","",""
"admin.analytics_title","Admin","","📊 Analytics","","","","","","",""
"admin.opening_analytics","Admin","","Opening analytics dashboard...","","","","","","",""
"admin.backup_title","Admin","","💾 Backup","","","","","","",""
"admin.starting_backup","Admin","","Starting system backup...","","","","","","",""
"admin.system_backup_label","Admin","","System Backup","","","","","","",""
"admin.data_refreshed_title","Admin","","✅ Data Refreshed","","","","","","",""
"admin.data_refreshed_desc","Admin","","Dashboard data has been updated with the latest information.","","","","","","",""
"admin.user_action_title","Admin","action","{{action}} User","","","","","","",""
"admin.user_action_confirm","Admin","action","Are you sure you want to {{action}} this user?","","","","","","",""
"admin.action_completed_title","Admin","","✅ Action Completed","","","","","","",""
"admin.action_completed_desc","Admin","action","User has been {{action}} successfully.","","","","","","",""
"admin.invitation_resent_title","Admin","","📤 Invitation Resent","","","","","","",""
"admin.invitation_resent_desc","Admin","","The invitation has been sent again to the user.","","","","","","",""
"admin.invitation_cancelled_title","Admin","","❌ Invitation Cancelled","","","","","","",""
"admin.invitation_cancelled_desc","Admin","","The invitation has been cancelled.","","","","","","",""
"admin.last_seen","Admin","","Last seen","","","","","","",""
"admin.sent","Admin","","Sent","","","","","","",""
"not_found.title","not_found","","Route Not Found","","","","","","",""
"not_found.subtitle","not_found","","The requested page doesn't exist in the app.","","","","","","",""
"not_found.go_to_dashboard","not_found","","Go to Dashboard","","","","","","",""
"not_found.go_to_home","not_found","","Go to Home","","","","","","",""
"not_found.debug.title","not_found","","Debug Information","","","","","","",""
"not_found.debug.path","not_found","","Path","","","","","","",""
"not_found.debug.user_role","not_found","","User Role","","","","","","",""
"not_found.debug.authenticated","not_found","","Authenticated","","","","","","",""
"not_found.debug.can_go_back","not_found","","Can Go Back","","","","","","",""
"not_found.debug.segments","not_found","","Segments","","","","","","",""
"not_found.debug.timestamp","not_found","","Timestamp","","","","","","",""
"time.just_now","time","","Just now","","","","","","",""
"time.minutes_short_ago","time","count","{{count}}m ago","","","","","","",""
"time.hours_short_ago","time","count","{{count}}h ago","","","","","","",""
"time.days_short_ago","time","count","{{count}}d ago","","","","","","",""
"marketing.pricing.back_to_home","marketing","","Back to Home","","","","","","",""
"pricing.load_error","pricing","","Unable to load pricing information. Please try again later.","","","","","","",""
"pricing.loading","pricing","","Loading pricing plans...","","","","","","",""
"pricing.unable_title","pricing","","Unable to Load Pricing","","","","","","",""
"pricing.cta.contact_sales","pricing","","Contact Sales","","","","","","",""
"pricing.cta.start_free","pricing","","Start Free","","","","","","",""
"pricing.cta.choose_named","pricing","name","Choose {{name}}","","","","","","",""
"pricing.tier.free.desc","pricing","","Perfect for small preschools getting started","","","","","","",""
"pricing.tier.starter.desc","pricing","","Essential features for growing schools","","","","","","",""
"pricing.tier.basic.desc","pricing","","Comprehensive tools for active schools","","","","","","",""
"pricing.tier.premium.desc","pricing","","Professional features for established schools","","","","","","",""
"pricing.tier.pro.desc","pricing","","Advanced solution for large schools","","","","","","",""
"pricing.tier.enterprise.desc","pricing","","Complete solution for large organizations","","","","","","",""
"pricing.subtitle_marketing","pricing","","Flexible pricing for schools of all sizes. Start free and scale as you grow.","","","","","","",""
"pricing.plans_title","pricing","","Plans & Pricing","","","","","","",""
"pricing.subtitle_app","pricing","","Flexible options for individuals, preschools and schools. AI usage includes monthly quotas. Overages require prepayment.","","","","","","",""
"pricing.back_to_pricing","pricing","","Back to Pricing","","","","","","",""
"pricing.free_ribbon","pricing","","You are on the Free plan","","","","","","",""
"pricing.restricted_principal_only","pricing","","Only principals or school admins can request Preschool Pro.","","","","","","",""
"pricing.restricted_enterprise_only","pricing","","Only principals or school admins can request Enterprise.","","","","","","",""
"pricing.restricted_submit_only","pricing","","Only principals or school admins can submit these requests.","","","","","","",""
"pricing.enterprise_subtitle","pricing","","Our enterprise solutions are designed for large school districts, government education departments, and multi-national education providers.","","","","","","",""
"pricing.enterprise.features.multi_tenant","pricing","","Multi-tenant architecture","","","","","","",""
"pricing.enterprise.features.advanced_security","pricing","","Advanced security & compliance","","","","","","",""
"pricing.enterprise.features.custom_integrations","pricing","","Custom integrations & APIs","","","","","","",""
"pricing.enterprise.features.dedicated_support","pricing","","Dedicated support team","","","","","","",""
"pricing.notes.title","pricing","","Notes","","","","","","",""
"pricing.notes.quota","pricing","","AI quotas are monthly and reset at the start of each month.","","","","","","",""
"pricing.notes.overages","pricing","","Overages require prepayment; once paid, access resumes immediately.","","","","","","",""
"pricing.notes.model_selection","pricing","","Model selection affects cost; Opus > Sonnet > Haiku. We recommend Haiku for most classroom use.","","","","","","",""
"pricing.notes.enterprise_contact","pricing","","For K-12 Enterprise pricing, contact sales. We tailor seat counts and AI usage pools to your school size and needs.","","","","","","",""
"pricing.faq.q1","pricing","","Can I upgrade or downgrade my plan anytime?","","","","","","",""
"pricing.faq.a1","pricing","","Yes! You can change your plan at any time. Upgrades take effect immediately, and downgrades take effect at the start of your next billing cycle.","","","","","","",""
"pricing.faq.q2","pricing","","Is there a setup fee?","","","","","","",""
"pricing.faq.a2","pricing","","No setup fees for Starter and Professional plans. Enterprise plans may include implementation services.","","","","","","",""
"pricing.faq.q3","pricing","","What payment methods do you accept?","","","","","","",""
"pricing.faq.a3","pricing","","We accept all major credit cards, PayFast, and bank transfers for South African customers.","","","","","","",""
"dashboard.parentDashboard","Dashboard","","Parent Dashboard","","","","","","",""
"dashboard.accessDenied","Dashboard","","Access Denied","","","","","","",""
"dashboard.mobileAppAccessRequired","Dashboard","","Mobile app access is required to use this feature. Please contact your administrator.","","","","","","",""
"dashboard.parentRoleRequired","Dashboard","","Parent role is required to access this dashboard.","","","","","","",""
"dashboard.roleAccessRequired","Dashboard","","The correct role is required to access this feature.","","","","","","",""
"dashboard.profileSetupRequired","Dashboard","","Your account profile needs to be set up. Please complete your profile setup.","","","","","","",""
"dashboard.goToAccount","Dashboard","","Go to Account","","","","","","",""
"dashboard.setupProfile","Dashboard","","Setup Profile","","","","","","",""
"dashboard.noChildren","Dashboard","","No linked children yet","","","","","","",""
"dashboard.noChildrenDescription","Dashboard","","When your school links your account to a child, they will appear here.","","","","","","",""
"dashboard.welcome","Dashboard","name","Welcome back, {{name}}!","","","","","","",""
"dashboard.quickActions","Dashboard","","Quick Actions","","","","","","",""
"dashboard.recentActivity","Dashboard","","Recent Activity","","","","","","",""
"dashboard.statistics","Dashboard","","Statistics","","","","","","",""
"dashboard.notifications","Dashboard","","Notifications","","","","","","",""
"dashboard.noActivity","Dashboard","","No recent activity","","","","","","",""
"dashboard.loading","Dashboard","","Loading dashboard...","","","","","","",""
"dashboard.connectionError","Dashboard","","Connection error. Please check your internet connection.","","","","","","",""
"dashboard.loadError","Dashboard","","Unable to load data. Please try again.","","","","","","",""
"dashboard.error_title","Dashboard","","Unable to load dashboard","","","","","","",""
"dashboard.retry_button","Dashboard","","Try Again","","","","","","",""
"dashboard.good_morning","Dashboard","","🌅 Good morning","","","","","","",""
"dashboard.good_afternoon","Dashboard","","☀️ Good afternoon","","","","","","",""
"dashboard.good_evening","Dashboard","","🌙 Good evening","","","","","","",""
"dashboard.managing_school","Dashboard","schoolName","Managing {{schoolName}}","","","","","","",""
"dashboard.teaching_at_school","Dashboard","schoolName","Teaching at {{schoolName}}","","","","","","",""
"dashboard.school_overview","Dashboard","","School Overview","","","","","","",""
"dashboard.principal_tools","Dashboard","","Principal Tools","","","","","","",""
"dashboard.todays_overview","Dashboard","","📊 Today's Overview","","","","","","",""
"dashboard.quick_actions_section","Dashboard","","⚡ Quick Actions","","","","","","",""
"dashboard.ai_teaching_tools","Dashboard","","🤖 AI Teaching Tools","","","","","","",""
"dashboard.my_classes","Dashboard","","📚 My Classes","","","","","","",""
"dashboard.recent_assignments","Dashboard","","📝 Recent Homework Assignments","","","","","","",""
"dashboard.upcoming_events","Dashboard","","📅 Upcoming Events","","","","","","",""
"dashboard.live_activity_feed","Dashboard","","Live Activity Feed","","","","","","",""
"dashboard.no_school_assigned","Dashboard","","No School Assigned","","","","","","",""
"dashboard.no_data_available","Dashboard","","No school data available","","","","","","",""
"dashboard.principal","Dashboard","","Principal","","","","","","",""
"dashboard.teacher","Dashboard","","Teacher","","","","","","",""
"dashboard.school_insights","Dashboard","","School Insights","","","","","","",""
"dashboard.financial_management","Dashboard","","Financial Management","","","","","","",""
"dashboard.ai_analytics","Dashboard","","AI & Analytics","","","","","","",""
"dashboard.teaching_staff","Dashboard","","Teaching Staff","","","","","","",""
"dashboard.school_capacity","Dashboard","","School Capacity","","","","","","",""
"dashboard.students_enrolled","Dashboard","","Students Enrolled","","","","","","",""
"dashboard.budget_management","Dashboard","","Budget Management","","","","","","",""
"dashboard.petty_cash_system","Dashboard","","Petty Cash System","","","","","","",""
"dashboard.financial_reports","Dashboard","","Financial Reports","","","","","","",""
"dashboard.ai_co_principal","Dashboard","","AI Co-Principal","","","","","","",""
"dashboard.ai_content_creation","Dashboard","","AI Content Creation","","","","","","",""
"dashboard.advanced_analytics","Dashboard","","Advanced Analytics","","","","","","",""
"dashboard.announcements","Dashboard","","Announcements","","","","","","",""
"dashboard.principal_hub","Dashboard","","Principal Hub","","","","","","",""
"dashboard.aiHelpUsed","Dashboard","count","Used AI homework help {{count}} times this month","","","","","","",""
"dashboard.upgradeLimitReached","Dashboard","","Upgrade for unlimited access","","","","","","",""
"dashboard.managingChildren","Dashboard","count","Managing {{count}} child","","","","","","",""
"dashboard.managingChildrenPlural","Dashboard","count","Managing {{count}} children","","","","","","",""
"dashboard.syncStatus","Dashboard","","Synced","","","","","","",""
"dashboard.whatsapp_not_connected","Dashboard","","Not Connected","","","","","","",""
"dashboard.tierFree","Dashboard","","Free","","","","","","",""
"dashboard.tierPro","Dashboard","","Pro","","","","","","",""
"dashboard.tierEnterprise","Dashboard","","Enterprise","","","","","","",""
"dashboard.tierLabel","Dashboard","tier","{{tier}} Tier","","","","","","",""
"dashboard.upgradeHint","Dashboard","","Upgrade for more ✨","","","","","","",""
"dashboard.usageLimits","Dashboard","","Usage Limits","","","","","","",""
"dashboard.upgrade_to_premium_title","Dashboard","","🎆 Upgrade to Premium","","","","","","",""
"dashboard.upgrade_to_premium_description","Dashboard","","Unlock powerful features for your school:

• Advanced Analytics & Dashboards
• AI-Powered Insights & Recommendations
• Custom Reports & Forecasting
• Real-time Financial Tracking
• Smart Performance Analytics

Transform your school management today!","","","","","","",""
"dashboard.learn_more","Dashboard","","Learn More","","","","","","",""
"dashboard.upgrade_now","Dashboard","","Upgrade Now 🚀","","","","","","",""
"dashboard.later","Dashboard","","Later","","","","","","",""
"dashboard.whatsapp_not_configured","Dashboard","","School WhatsApp number not configured. Please contact support at support@edudashpro.org.za","","","","","","",""
"dashboard.announcement_send_error","Dashboard","","Unable to send announcement. Please try again.","","","","","","",""
"dashboard.announcement_send_success","Dashboard","","📢 Announcement Sent!","","","","","","",""
"dashboard.announcement_send_details","Dashboard","title, audience, count, priority, requiresResponse","""{{title}}"" has been sent to {{audience}} ({{count}} groups).

Priority: {{priority}}{{requiresResponse}}","","","","","","",""
"dashboard.response_required","Dashboard","","
⚠️ Response required","","","","","","",""
"dashboard.view_messages","Dashboard","","View Messages","","","","","","",""
"dashboard.announcement_failed","Dashboard","error","Failed to send announcement: {{error}}","","","","","","",""
"dashboard.announcement_unexpected_error","Dashboard","","An unexpected error occurred while sending the announcement.","","","","","","",""
"dashboard.general","Dashboard","","General","","","","","","",""
"dashboard.no_teachers_assigned","Dashboard","","No teachers assigned yet","","","","","","",""
"dashboard.add_teachers","Dashboard","","Add Teachers","","","","","","",""
"dashboard.financial_overview","Dashboard","","Financial Overview","","","","","","",""
"dashboard.monthly_revenue","Dashboard","","Monthly Revenue","","","","","","",""
"dashboard.net_profit","Dashboard","","Net Profit","","","","","","",""
"dashboard.petty_cash_balance","Dashboard","","Petty Cash Balance","","","","","","",""
"dashboard.monthly_expenses","Dashboard","","Monthly Expenses","","","","","","",""
"dashboard.details","Dashboard","","Details","","","","","","",""
"dashboard.ai_insights","Dashboard","","AI Insights","","","","","","",""
"dashboard.smart_analytics_recommendations","Dashboard","","Smart analytics & recommendations","","","","","","",""
"dashboard.ai_insights_smart_analytics","Dashboard","","AI Insights","","","","","","",""
"dashboard.smart_analytics_description","Dashboard","","Smart analytics & recommendations","","","","","","",""
"dashboard.upgrade","Dashboard","","Upgrade","","","","","","",""
"dashboard.need_help","Dashboard","","Need Help?","","","","","","",""
"dashboard.ai_upgrade_required_title","Dashboard","","Upgrade Required","","","","","","",""
"dashboard.ai_upgrade_required_message","Dashboard","","Your plan does not include this AI feature or your seat is not active.","","","","","","",""
"dashboard.ai_upgrade_required_cta","Dashboard","","Upgrade to use","","","","","","",""
"dashboard.ai_tools_enabled","Dashboard","","AI tools available","","","","","","",""
"dashboard.ai_tools_disabled","Dashboard","","AI tools disabled","","","","","","",""
"dashboard.ai_tools_info","Dashboard","","AI runs on a secure server. Access and usage are limited by your plan or trial.","","","","","","",""
"dashboard.ai_upgrade_nudge","Dashboard","","Unlock AI tools with Basic, Premium or Pro.","","","","","","",""
"dashboard.unlock_features","Dashboard","","Unlock more features","","","","","","",""
"dashboard.see_plans","Dashboard","","See plans","","","","","","",""
"dashboard.load_error","Dashboard","","Unable to load data. Please try again.","","","","","","",""
"dashboard.contact_support_whatsapp","Dashboard","","Contact support via WhatsApp • Get instant help","","","","","","",""
"dashboard.payment_history","Dashboard","","Payment History","","","","","","",""
"dashboard.payment_history_subtitle","Dashboard","","Browse, filter & export payment records","","","","","","",""
"dashboard.financial_overview_subtitle","Dashboard","","View revenue, expenses & cash flow trends","","","","","","",""
"dashboard.financial_reports_subtitle","Dashboard","","Generate detailed financial analysis","","","","","","",""
"dashboard.petty_cash_subtitle","Dashboard","","Manage daily expenses & cash on hand","","","","","","",""
"dashboard.class_teacher_management","Dashboard","","Class & Teacher Management","","","","","","",""
"dashboard.class_teacher_management_subtitle","Dashboard","","Assign teachers, manage classes & ratios","","","","","","",""
"dashboard.loading_profile","Dashboard","","Loading profile...","","","","","","",""
"dashboard.no_school_found_redirect","Dashboard","","No school found. Redirecting to onboarding…","","","","","","",""
"dashboard.principal_hub_load_error","Dashboard","","Unable to Load Principal Hub","","","","","","",""
"dashboard.your_school","Dashboard","","your school","","","","","","",""
"dashboard.unlock_premium_subtitle","Dashboard","","Advanced analytics, AI insights & more • Transform your school today!","","","","","","",""
"dashboard.capacity_students","Dashboard","current, capacity","{{current}} / {{capacity}} students","","","","","","",""
"dashboard.utilized_percentage","Dashboard","percentage","{{percentage}}% utilized","","","","","","",""
"dashboard.pending_approvals","Dashboard","","Pending Approvals","","","","","","",""
"dashboard.requiring_approval","Dashboard","","Requiring approval","","","","","","",""
"dashboard.vs_last_month","Dashboard","","vs last month","","","","","","",""
"dashboard.this_month","Dashboard","","this month","","","","","","",""
"dashboard.no_school_assigned_text","Dashboard","","No School Assigned","","","","","","",""
"dashboard.general_expenses","Dashboard","","General Expenses","","","","","","",""
"dashboard.no_description","Dashboard","","No description","","","","","","",""
"dashboard.invalid_phone_number","Dashboard","","Invalid Phone Number","","","","","","",""
"dashboard.enter_valid_phone","Dashboard","","Please enter a valid South African mobile number","","","","","","",""
"dashboard.announcement.create_announcement","Dashboard","","Create Announcement","","","","","","",""
"dashboard.announcement.title","Dashboard","","Title","","","","","","",""
"dashboard.announcement.message","Dashboard","","Message","","","","","","",""
"dashboard.announcement.send_to","Dashboard","","Send To","","","","","","",""
"dashboard.announcement.priority_level","Dashboard","","Priority Level","","","","","","",""
"dashboard.announcement.options","Dashboard","","Options","","","","","","",""
"dashboard.announcement.preview","Dashboard","","Preview","","","","","","",""
"dashboard.announcement.send","Dashboard","","Send","","","","","","",""
"dashboard.announcement.teachers","Dashboard","","Teachers","","","","","","",""
"dashboard.announcement.parents","Dashboard","","Parents","","","","","","",""
"dashboard.announcement.students","Dashboard","","Students","","","","","","",""
"dashboard.announcement.admin_staff","Dashboard","","Admin Staff","","","","","","",""
"dashboard.announcement.low","Dashboard","","Low","","","","","","",""
"dashboard.announcement.normal","Dashboard","","Normal","","","","","","",""
"dashboard.announcement.high","Dashboard","","High","","","","","","",""
"dashboard.announcement.urgent","Dashboard","","Urgent","","","","","","",""
"dashboard.announcement.requires_response","Dashboard","","Requires Response","","","","","","",""
"dashboard.announcement.schedule_for_later","Dashboard","","Schedule for Later","","","","","","",""
"dashboard.announcement.recipients_count","Dashboard","count","{{count}} recipients","","","","","","",""
"dashboard.announcement.enter_title","Dashboard","","Enter announcement title...","","","","","","",""
"dashboard.announcement.write_message","Dashboard","","Write your announcement message here...","","","","","","",""
"dashboard.announcement.characters_count","Dashboard","count","{{count}}/1000 characters","","","","","","",""
"dashboard.announcement.missing_information","Dashboard","","Missing Information","","","","","","",""
"dashboard.announcement.provide_title_message","Dashboard","","Please provide both title and message","","","","","","",""
"dashboard.announcement.no_audience","Dashboard","","No Audience","","","","","","",""
"dashboard.announcement.select_audience","Dashboard","","Please select at least one audience","","","","","","",""
"dashboard.announcement.recipients_acknowledge","Dashboard","","Recipients must acknowledge this announcement","","","","","","",""
"dashboard.announcement.send_specific_time","Dashboard","","Send at a specific date and time","","","","","","",""
"dashboard.announcement.announcement_title_placeholder","Dashboard","","Announcement Title","","","","","","",""
"dashboard.announcement.message_placeholder","Dashboard","","Your announcement message will appear here...","","","","","","",""
"dashboard.announcement.sent_to","Dashboard","audience","Sent to: {{audience}}","","","","","","",""
"dashboard.announcement.no_audience_selected","Dashboard","","No audience selected","","","","","","",""
"dashboard.petty_cash.petty_cash","Dashboard","","Petty Cash","","","","","","",""
"dashboard.petty_cash.current_balance","Dashboard","","Current Balance","","","","","","",""
"dashboard.petty_cash.quick_actions","Dashboard","","Quick Actions","","","","","","",""
"dashboard.petty_cash.add_expense","Dashboard","","Add Expense","","","","","","",""
"dashboard.petty_cash.replenish_cash","Dashboard","","Replenish Cash","","","","","","",""
"dashboard.petty_cash.withdraw_cash","Dashboard","","Withdraw Cash","","","","","","",""
"dashboard.petty_cash.reconcile","Dashboard","","Reconcile","","","","","","",""
"dashboard.petty_cash.recent_transactions","Dashboard","","Recent Transactions","","","","","","",""
"dashboard.petty_cash.view_all","Dashboard","","View All","","","","","","",""
"dashboard.petty_cash.total_expenses","Dashboard","","Total Expenses","","","","","","",""
"dashboard.petty_cash.total_replenishments","Dashboard","","Total Replenishments","","","","","","",""
"dashboard.petty_cash.pending_approval","Dashboard","","Pending Approval","","","","","","",""
"dashboard.petty_cash.no_transactions_yet","Dashboard","","No Transactions Yet","","","","","","",""
"dashboard.petty_cash.add_first_expense","Dashboard","","Add your first expense or replenishment","","","","","","",""
"dashboard.petty_cash.monthly_overview","Dashboard","","Monthly Overview","","","","","","",""
"dashboard.petty_cash.balance","Dashboard","","Balance","","","","","","",""
"dashboard.petty_cash.amount","Dashboard","","Amount","","","","","","",""
"dashboard.petty_cash.description","Dashboard","","Description","","","","","","",""
"dashboard.petty_cash.category","Dashboard","","Category","","","","","","",""
"dashboard.petty_cash.receipt_number","Dashboard","","Receipt Number","","","","","","",""
"dashboard.petty_cash.select_category","Dashboard","","Select Category","","","","","","",""
"dashboard.petty_cash.enter_amount","Dashboard","","Enter amount","","","","","","",""
"dashboard.petty_cash.enter_description","Dashboard","","Enter description","","","","","","",""
