Key,Context,Variables,en,es,fr,pt,de,af,zu,st
"common.no","common","","No","","","","","","",""
"common.close","common","","Close","","","","","","",""
"common.refresh","common","","Refresh","","","","","","",""
"common.save","common","","Save","","","","","","",""
"common.submit","common","","Submit","","","","","","",""
"common.continue","common","","Continue","","","","","","",""
"common.back","common","","Back","","","","","","",""
"common.next","common","","Next","","","","","","",""
"common.done","common","","Done","","","","","","",""
"common.school_stats_today","common","","📊 School Stats Today","","","","","","",""
"common.school_stats_content","common","studentsPresent, totalStudents, studentsPercentage, teachersPresent, totalTeachers, teachersPercentage, activeClasses, lunchOrders, lastUpdated","Current Status:

👥 Students Present: {{studentsPresent}}/{{totalStudents}} ({{studentsPercentage}}%)
👨‍🏫 Teachers Present: {{teachersPresent}}/{{totalTeachers}} ({{teachersPercentage}}%)
📚 Active Classes: {{activeClasses}}
🍽️ Lunch Orders: {{lunchOrders}}
🚌 Bus Routes: All on time

Last updated: {{lastUpdated}}","","","","","","",""
"common.view_details","common","","View Details","","","","","","",""
"common.quick_settings_content","common","","🔧 Quick Settings","","","","","","",""
"common.quick_settings_description","common","","Fast access to frequently used settings:

⚙️ School Profile
📋 Class Schedules
🎨 Theme Settings
🔔 Notification Preferences
💾 Backup & Sync","","","","","","",""
"common.whatsapp_connected","common","","WhatsApp Connected!","","","","","","",""
"common.whatsapp_updates_enabled","common","","You can now receive school updates via WhatsApp.","","","","","","",""
"common.menu","common","","Menu","","","","","","",""
"common.my_profile","common","","My Profile","","","","","","",""
"common.account_settings_subtitle","common","","Account settings, profile picture & biometrics","","","","","","",""
"common.school_settings_modal_subtitle","common","","Configure school preferences & policies","","","","","","",""
"common.classes","common","","classes","","","","","","",""
"common.students","common","","students","","","","","","",""
"common.email","common","","Email","","","","","","",""
"common.status","common","","Status","","","","","","",""
"common.see_all","common","","See All","","","","","","",""
"common.account","common","","Account","","","","","","",""
"common.settings","common","","Settings","","","","","","",""
"common.student","common","","Student","","","","","","",""
"common.name","common","","Name","","","","","","",""
"common.not_now","common","","Not now","","","","","","",""
"navigation.dashboard","Navigation","","Dashboard","","","","","","",""
"navigation.profile","Navigation","","Profile","","","","","","",""
"navigation.settings","Navigation","","Settings","","","","","","",""
"navigation.account","Navigation","","Account","","","","","","",""
"navigation.logout","Navigation","","Sign Out","","","","","","",""
"navigation.back","Navigation","","Back","","","","","","",""
"navigation.next","Navigation","","Next","","","","","","",""
"navigation.cancel","Navigation","","Cancel","","","","","","",""
"navigation.save","Navigation","","Save","","","","","","",""
"navigation.edit","Navigation","","Edit","","","","","","",""
"navigation.delete","Navigation","","Delete","","","","","","",""
"navigation.add","Navigation","","Add","","","","","","",""
"navigation.search","Navigation","","Search","","","","","","",""
"navigation.retry","Navigation","","Retry","","","","","","",""
"navigation.close","Navigation","","Close","","","","","","",""
"navigation.switch_account","Navigation","","Switch account","","","","","","",""
"navigation.home","Navigation","","Home","","","","","","",""
"navigation.students","Navigation","","Students","","","","","","",""
"navigation.children","Navigation","","Children","","","","","","",""
"navigation.messages","Navigation","","Messages","","","","","","",""
"navigation.calendar","Navigation","","Calendar","","","","","","",""
"navigation.programs","Navigation","","Programs","","","","","","",""
"navigation.work","Navigation","","Work","","","","","","",""
"navigation.regions","Navigation","","Regions","","","","","","",""
"navigation.finance","Navigation","","Finance","","","","","","",""
"navigation.members","Navigation","","Members","","","","","","",""
"dashChat.welcomeTitle","dashChat","","Hi! I'm Dash","","","","","","",""
"dashChat.welcomeBody","dashChat","","Tell me the learner's grade, subject, and topic. I'll teach step-by-step and ask one question at a time.","","","","","","",""
"dashChat.startFirstChat","dashChat","","Start Your First Chat","","","","","","",""
"dashChat.launchExamBuilder","dashChat","","Launch Exam Builder","","","","","","",""
"dashChat.quickPrompt1","dashChat","","Grade 4 Mathematics: fractions","","","","","","",""
"dashChat.quickPrompt2","dashChat","","Grade 7 English: figurative language","","","","","","",""
"dashChat.quickPrompt3","dashChat","","Study plan for Grade 10 Life Sciences","","","","","","",""
"dashChat.tutorModeTitle","dashChat","","Tutor Mode","","","","","","",""
"dashChat.tutorModeSubtitle","dashChat","","Structured, interactive help for parents & learners","","","","","","",""
"dashChat.gradeLabel","dashChat","","Grade","","","","","","",""
"dashChat.selectGrade","dashChat","","Select grade","","","","","","",""
"dashChat.subjectLabel","dashChat","","Subject","","","","","","",""
"dashChat.selectSubject","dashChat","","Select subject","","","","","","",""
"dashChat.topicLabel","dashChat","","Topic","","","","","","",""
"dashChat.topicPlaceholder","dashChat","","e.g., fractions, photosynthesis","","","","","","",""
"dashChat.goalLabel","dashChat","","Goal (optional)","","","","","","",""
"dashChat.goalPlaceholder","dashChat","","e.g., homework help, exam prep","","","","","","",""
"dashChat.languageLabel","dashChat","","Language","","","","","","",""
"dashChat.startTutorSession","dashChat","","Start Tutor Session","","","","","","",""
"dashChat.clear","dashChat","","Clear","","","","","","",""
"dashChat.goalPlaceholderPreschool","dashChat","","e.g., counting, letter sounds, social skills","","","","","","",""
"birthdayChart.title","birthdayChart","","Birthday Chart","","","","","","",""
"birthdayChart.loading","birthdayChart","","Loading birthdays...","","","","","","",""
"birthdayChart.studentFallback","birthdayChart","","Student","","","","","","",""
"birthdayChart.totalStudentsSingle","birthdayChart","count","{{count}} student in total","","","","","","",""
"birthdayChart.totalStudentsMultiple","birthdayChart","count","{{count}} students in total","","","","","","",""
"birthdayChart.todaySingle","birthdayChart","name","{{name}} has a birthday today!","","","","","","",""
"birthdayChart.todayMultiple","birthdayChart","count","{{count}} birthdays today!","","","","","","",""
"birthdayChart.monthBirthdaysSingle","birthdayChart","count","{{count}} birthday","","","","","","",""
"birthdayChart.monthBirthdaysMultiple","birthdayChart","count","{{count}} birthdays","","","","","","",""
"birthdayChart.thisMonth","birthdayChart","","This month","","","","","","",""
"birthdayChart.monthHeading","birthdayChart","month","{{month}} Birthdays","","","","","","",""
"birthdayChart.noneThisMonth","birthdayChart","","No birthdays in this month.","","","","","","",""
"birthdayChart.turning","birthdayChart","age","Turning {{age}}","","","","","","",""
"auth.resend_confirmation","Authentication","","Resend confirmation email","","","","","","",""
"auth.org_onboard_q","Authentication","","Looking to onboard an organization?","","","","","","",""
"auth.signIn","Authentication","","Sign In","","","","","","",""
"auth.signUp","Authentication","","Sign Up","","","","","","",""
"auth.signOut","Authentication","","Sign Out","","","","","","",""
"auth.forgotPassword","Authentication","","Forgot Password","","","","","","",""
"auth.resetPassword","Authentication","","Reset Password","","","","","","",""
"auth.email","Authentication","","Email","","","","","","",""
"auth.password","Authentication","","Password","","","","","","",""
"auth.confirmPassword","Authentication","","Confirm Password","","","","","","",""
"auth.firstName","Authentication","","First Name","","","","","","",""
"auth.lastName","Authentication","","Last Name","","","","","","",""
"auth.loading","Authentication","","Loading...","","","","","","",""
"auth.signingIn","Authentication","","Signing in...","","","","","","",""
"auth.signingUp","Authentication","","Creating account...","","","","","","",""
"auth.invalidCredentials","Authentication","","Invalid email or password","","","","","","",""
"auth.accountCreated","Authentication","","Account created successfully","","","","","","",""
"auth.passwordResetSent","Authentication","","Password reset link sent to your email","","","","","","",""
"auth.remember_me","Authentication","","Remember me","","","","","","",""
"auth.dont_have_account","Authentication","","Don't have an account?","","","","","","",""
"auth.sign_in.enter_email_password","Authentication","","Please enter email and password","","","","","","",""
"auth.sign_in.welcome_back","Authentication","","Welcome Back","","","","","","",""
"auth.sign_in.sign_in_to_account","Authentication","","Sign in to your account","","","","","","",""
"auth.sign_in.failed","Authentication","","Sign In Failed","","","","","","",""
"auth.sign_in.signing_in","Authentication","","Signing In...","","","","","","",""
"auth.sign_in.cta","Authentication","","Sign In","","","","","","",""
"auth.sign_in.no_saved_credentials","Authentication","","No saved credentials found. Please sign in with your password.","","","","","","",""
"auth.biometric.prompt","Authentication","","Sign in to EduDash Pro","","","","","","",""
"auth.biometric.use_face_id","Authentication","","Use Face ID","","","","","","",""
"auth.biometric.use_fingerprint","Authentication","","Use Fingerprint","","","","","","",""
"auth.biometric.use_biometric","Authentication","","Use Biometric","","","","","","",""
"auth.biometric.enabled_for","Authentication","","Biometric login enabled","","","","","","",""
"auth.biometric.authenticating","Authentication","","Authenticating","","","","","","",""
"auth.biometric.authenticating_face","Authentication","","Authenticating with Face ID","","","","","","",""
"auth.biometric.authenticating_fingerprint","Authentication","","Authenticating with Fingerprint","","","","","","",""
"auth.biometric.please_verify","Authentication","","Please verify your identity","","","","","","",""
"auth.biometric_not_available.title","Authentication","","Biometric Not Available","","","","","","",""
"auth.biometric_not_available.desc","Authentication","","Please use your password to sign in.","","","","","","",""
"auth.biometric_failed.title","Authentication","","Authentication Failed","","","","","","",""
"auth.biometric_failed.desc","Authentication","","Biometric authentication failed","","","","","","",""
"auth.biometric_failed.unexpected","Authentication","","An error occurred during biometric authentication","","","","","","",""
"auth.oauth.failed_start","Authentication","","Failed to start social login","","","","","","",""
"auth.oauth.config_error","Authentication","","OAuth configuration error. Please contact support.","","","","","","",""
"auth.oauth.unavailable","Authentication","","Sign-in Unavailable","","","","","","",""
"auth.oauth.error","Authentication","","Sign-in Error","","","","","","",""
"auth.sign_up_parent","Authentication","","Sign up as Parent","","","","","","",""
"auth.sign_up_teacher","Authentication","","Sign up as Teacher","","","","","","",""
"auth.school_register_q","Authentication","","Looking to register a school?","","","","","","",""
"roles.parent","roles","","Parent","","","","","","",""
"roles.teacher","roles","","Teacher","","","","","","",""
"roles.principal","roles","","Principal","","","","","","",""
"roles.admin","roles","","Administrator","","","","","","",""
"roles.superAdmin","roles","","Super Admin","","","","","","",""
"student.dashboard_title","student","","Student Dashboard","","","","","","",""
"student.welcome_back","student","name","Welcome back, {{name}}","","","","","","",""
"student.continue_learning","student","","Continue your learning journey","","","","","","",""
"student.upgrade_title","student","","Unlock Premium Features","","","","","","",""
"student.upgrade_description","student","","Get unlimited AI homework help, advanced analytics, and more","","","","","","",""
"student.join_organization","student","","Join Organization","","","","","","",""
"student.join_prompt","student","","Join your school or organization to access assignments, grades, and more.","","","","","","",""
"student.join_now","student","","Join Now","","","","","","",""
"learner.dashboard_title","learner","","My Learning","","","","","","",""
"learner.welcome_back","learner","name","Welcome back, {{name}}","","","","","","",""
"learner.continue_learning","learner","","Continue your skills development journey","","","","","","",""
"learner.assignment_help","learner","","Assignment Help","","","","","","",""
"learner.get_ai_help","learner","","Get AI-powered help","","","","","","",""
"learner.my_programs","learner","","My Programs","","","","","","",""
"learner.view_enrollments","learner","","View enrollments","","","","","","",""
"learner.submissions","learner","","Submissions","","","","","","",""
"learner.view_assignments","learner","","View assignments","","","","","","",""
"learner.connections","learner","","Connections","","","","","","",""
"learner.network_peers","learner","","Network with peers","","","","","","",""
"learner.courses","learner","","Online Courses","","","","","","",""
"learner.browse_courses","learner","","Browse courses","","","","","","",""
"learner.my_cv","learner","","My CV","","","","","","",""
"learner.manage_cv","learner","","Manage CV","","","","","","",""
"learner.portfolio","learner","","Portfolio","","","","","","",""
"learner.showcase_work","learner","","Showcase your work","","","","","","",""
"learner.quick_actions","learner","","Quick Actions","","","","","","",""
"learner.programs","learner","","Programs","","","","","","",""
"learner.join_organization","learner","","Join Organization","","","","","","",""
"learner.create_membership","learner","","Create Membership","","","","","","",""
"learner.membership_prompt","learner","","Join an organization to access programs, events, and receive your digital ID card","","","","","","",""
"learner.join_prompt","learner","","Enter an organization code to join and start learning","","","","","","",""
"learner.join_with_code","learner","","Join with Organization Code","","","","","","",""
"learner.join_with_invite","learner","","Join with Invitation Code","","","","","","",""
"learner.recent_programs","learner","","Recent Programs","","","","","","",""
"learner.no_enrollments","learner","","No Enrollments Yet","","","","","","",""
"learner.completed","learner","","Completed","","","","","","",""
"learner.complete","learner","","complete","","","","","","",""
"learner.enrolled_on","learner","","Enrolled","","","","","","",""
"learner.no_submissions","learner","","No Submissions Yet","","","","","","",""
"learner.submissions_prompt","learner","","Your assignment submissions will appear here","","","","","","",""
"learner.messages","learner","","Messages","","","","","","",""
"learner.no_conversations","learner","","No Conversations Yet","","","","","","",""
"learner.messages_prompt","learner","","Start a conversation with your facilitator or peers","","","","","","",""
"learner.chat","learner","","Chat","","","","","","",""
"learner.program_details","learner","","Program Details","","","","","","",""
"learner.enrolled","learner","","Enrolled","","","","","","",""
"learner.program_content","learner","","Program Content","","","","","","",""
"learner.online","learner","","Online","","","","","","",""
"learner.type_message","learner","","Type a message...","","","","","","",""
"learner.in_progress","learner","","In Progress","","","","","","",""
"learner.avg_progress","learner","","Avg Progress","","","","","","",""
"admin.header.title","Admin","","🎛️ Admin Dashboard","","","","","","",""
"admin.header.subtitle","Admin","","Real-time school management","","","","","","",""
"admin.stats.total_users","Admin","","Total Users","","","","","","",""
"admin.stats.active_today","Admin","","Active Today","","","","","","",""
"admin.stats.pending_invites","Admin","","Pending Invites","","","","","","",""
"admin.stats.security_alerts","Admin","","Security Alerts","","","","","","",""
"admin.user_management.title","Admin","","👥 User Management","","","","","","",""
"admin.pending_invitations","Admin","","📤 Pending Invitations","","","","","","",""
"admin.resend","Admin","","📤 Resend","","","","","","",""
"admin.cancel","Admin","","❌ Cancel","","","","","","",""
"admin.recent_activity","Admin","","📊 Recent Activity","","","","","","",""
"admin.quick_actions","Admin","","⚡ Quick Actions","","","","","","",""
"admin.security_settings_title","Admin","","🔐 Security Settings","","","","","","",""
"admin.security_settings_label","Admin","","Security Settings","","","","","","",""
"admin.opening_security","Admin","","Opening security management...","","","","","","",""
"admin.view_analytics","Admin","","View Analytics","","","","","","",""
"admin.analytics_title","Admin","","📊 Analytics","","","","","","",""
"admin.opening_analytics","Admin","","Opening analytics dashboard...","","","","","","",""
"admin.backup_title","Admin","","💾 Backup","","","","","","",""
"admin.starting_backup","Admin","","Starting system backup...","","","","","","",""
"admin.system_backup_label","Admin","","System Backup","","","","","","",""
"admin.data_refreshed_title","Admin","","✅ Data Refreshed","","","","","","",""
"admin.data_refreshed_desc","Admin","","Dashboard data has been updated with the latest information.","","","","","","",""
"admin.user_action_title","Admin","action","{{action}} User","","","","","","",""
"admin.user_action_confirm","Admin","action","Are you sure you want to {{action}} this user?","","","","","","",""
"admin.action_completed_title","Admin","","✅ Action Completed","","","","","","",""
"admin.action_completed_desc","Admin","action","User has been {{action}} successfully.","","","","","","",""
"admin.invitation_resent_title","Admin","","📤 Invitation Resent","","","","","","",""
"admin.invitation_resent_desc","Admin","","The invitation has been sent again to the user.","","","","","","",""
"admin.invitation_cancelled_title","Admin","","❌ Invitation Cancelled","","","","","","",""
"admin.invitation_cancelled_desc","Admin","","The invitation has been cancelled.","","","","","","",""
"admin.last_seen","Admin","","Last seen","","","","","","",""
"admin.sent","Admin","","Sent","","","","","","",""
"not_found.title","not_found","","Route Not Found","","","","","","",""
"not_found.subtitle","not_found","","The requested page doesn't exist in the app.","","","","","","",""
"not_found.go_to_dashboard","not_found","","Go to Dashboard","","","","","","",""
"not_found.go_to_home","not_found","","Go to Home","","","","","","",""
"not_found.debug.title","not_found","","Debug Information","","","","","","",""
"not_found.debug.path","not_found","","Path","","","","","","",""
"not_found.debug.user_role","not_found","","User Role","","","","","","",""
"not_found.debug.authenticated","not_found","","Authenticated","","","","","","",""
"not_found.debug.can_go_back","not_found","","Can Go Back","","","","","","",""
"not_found.debug.segments","not_found","","Segments","","","","","","",""
"not_found.debug.timestamp","not_found","","Timestamp","","","","","","",""
"time.just_now","time","","Just now","","","","","","",""
"time.minutes_short_ago","time","count","{{count}}m ago","","","","","","",""
"time.hours_short_ago","time","count","{{count}}h ago","","","","","","",""
"time.days_short_ago","time","count","{{count}}d ago","","","","","","",""
"time.month","time","","month","","","","","","",""
"time.year","time","","year","","","","","","",""
"marketing.pricing.back_to_home","marketing","","Back to Home","","","","","","",""
"pricing.load_error","pricing","","Unable to load pricing information. Please try again later.","","","","","","",""
"pricing.loading","pricing","","Loading pricing plans...","","","","","","",""
"pricing.unable_title","pricing","","Unable to Load Pricing","","","","","","",""
"pricing.cta.contact_sales","pricing","","Contact Sales","","","","","","",""
"pricing.cta.start_free","pricing","","Start Free","","","","","","",""
"pricing.cta.choose_named","pricing","name","Choose {{name}}","","","","","","",""
"pricing.tier.free.desc","pricing","","Perfect for small preschools getting started","","","","","","",""
"pricing.tier.starter.desc","pricing","","Essential features for growing schools","","","","","","",""
"pricing.tier.basic.desc","pricing","","Comprehensive tools for active schools","","","","","","",""
"pricing.tier.premium.desc","pricing","","Professional features for established schools","","","","","","",""
"pricing.tier.pro.desc","pricing","","Advanced solution for large schools","","","","","","",""
"pricing.tier.enterprise.desc","pricing","","Complete solution for large organizations","","","","","","",""
"pricing.subtitle_marketing","pricing","","Flexible pricing for schools of all sizes. Start free and scale as you grow.","","","","","","",""
"pricing.plans_title","pricing","","Plans & Pricing","","","","","","",""
"pricing.subtitle_app","pricing","","Flexible options for individuals, preschools and schools. AI usage includes monthly quotas. Overages require prepayment.","","","","","","",""
"pricing.back_to_pricing","pricing","","Back to Pricing","","","","","","",""
"pricing.free_ribbon","pricing","","You are on the Free plan","","","","","","",""
"pricing.restricted_principal_only","pricing","","Only principals or school admins can request Preschool Pro.","","","","","","",""
"pricing.restricted_enterprise_only","pricing","","Only principals or school admins can request Enterprise.","","","","","","",""
"pricing.restricted_submit_only","pricing","","Only principals or school admins can submit these requests.","","","","","","",""
"pricing.enterprise_subtitle","pricing","","Our enterprise solutions are designed for large school districts, government education departments, and multi-national education providers.","","","","","","",""
"pricing.enterprise.features.multi_tenant","pricing","","Multi-tenant architecture","","","","","","",""
"pricing.enterprise.features.advanced_security","pricing","","Advanced security & compliance","","","","","","",""
"pricing.enterprise.features.custom_integrations","pricing","","Custom integrations & APIs","","","","","","",""
"pricing.enterprise.features.dedicated_support","pricing","","Dedicated support team","","","","","","",""
"pricing.notes.title","pricing","","Notes","","","","","","",""
"pricing.notes.quota","pricing","","AI quotas are monthly and reset at the start of each month.","","","","","","",""
"pricing.notes.overages","pricing","","Overages require prepayment; once paid, access resumes immediately.","","","","","","",""
"pricing.notes.model_selection","pricing","","Model selection affects cost; Opus > Sonnet > Haiku. We recommend Haiku for most classroom use.","","","","","","",""
"pricing.notes.enterprise_contact","pricing","","For K-12 Enterprise pricing, contact sales. We tailor seat counts and AI usage pools to your school size and needs.","","","","","","",""
"pricing.faq.q1","pricing","","Can I upgrade or downgrade my plan anytime?","","","","","","",""
"pricing.faq.a1","pricing","","Yes! You can change your plan at any time. Upgrades take effect immediately, and downgrades take effect at the start of your next billing cycle.","","","","","","",""
"pricing.faq.q2","pricing","","Is there a setup fee?","","","","","","",""
"pricing.faq.a2","pricing","","No setup fees for Starter and Professional plans. Enterprise plans may include implementation services.","","","","","","",""
"pricing.faq.q3","pricing","","What payment methods do you accept?","","","","","","",""
"pricing.faq.a3","pricing","","We accept all major credit cards, PayFast, and bank transfers for South African customers.","","","","","","",""
"dashboard.welcome_generic","Dashboard","","Welcome to EduDash Pro","","","","","","",""
"dashboard.overview","Dashboard","","Overview","","","","","","",""
"dashboard.parentDashboard","Dashboard","","Parent Dashboard","","","","","","",""
"dashboard.accessDenied","Dashboard","","Access Denied","","","","","","",""
"dashboard.mobileAppAccessRequired","Dashboard","","Mobile app access is required to use this feature. Please contact your administrator.","","","","","","",""
"dashboard.parentRoleRequired","Dashboard","","Parent role is required to access this dashboard.","","","","","","",""
"dashboard.roleAccessRequired","Dashboard","","The correct role is required to access this feature.","","","","","","",""
"dashboard.profileSetupRequired","Dashboard","","Your account profile needs to be set up. Please complete your profile setup.","","","","","","",""
"dashboard.goToAccount","Dashboard","","Go to Account","","","","","","",""
"dashboard.setupProfile","Dashboard","","Setup Profile","","","","","","",""
"dashboard.noChildren","Dashboard","","No linked children yet","","","","","","",""
"dashboard.noChildrenDescription","Dashboard","","When your school links your account to a child, they will appear here.","","","","","","",""
"dashboard.welcome","Dashboard","name","Welcome back, {{name}}!","","","","","","",""
"dashboard.quickActions","Dashboard","","Quick Actions","","","","","","",""
"dashboard.recentActivity","Dashboard","","Recent Activity","","","","","","",""
"dashboard.statistics","Dashboard","","Statistics","","","","","","",""
"dashboard.notifications","Dashboard","","Notifications","","","","","","",""
"dashboard.noActivity","Dashboard","","No recent activity","","","","","","",""
"dashboard.loading","Dashboard","","Loading dashboard...","","","","","","",""
"dashboard.connectionError","Dashboard","","Connection error. Please check your internet connection.","","","","","","",""
"dashboard.loadError","Dashboard","","Unable to load data. Please try again.","","","","","","",""
"dashboard.error_title","Dashboard","","Unable to load dashboard","","","","","","",""
"dashboard.retry_button","Dashboard","","Try Again","","","","","","",""
"dashboard.good_morning","Dashboard","","🌅 Good morning","","","","","","",""
"dashboard.good_afternoon","Dashboard","","☀️ Good afternoon","","","","","","",""
"dashboard.good_evening","Dashboard","","🌙 Good evening","","","","","","",""
"dashboard.managing_school","Dashboard","schoolName","Managing {{schoolName}}","","","","","","",""
"dashboard.teaching_at_school","Dashboard","schoolName","Teaching at {{schoolName}}","","","","","","",""
"dashboard.school_overview","Dashboard","","School Overview","","","","","","",""
"dashboard.principal_tools","Dashboard","","Principal Tools","","","","","","",""
"dashboard.todays_overview","Dashboard","","📊 Today's Overview","","","","","","",""
"dashboard.quick_actions_section","Dashboard","","⚡ Quick Actions","","","","","","",""
"dashboard.quick_actions_stats","Dashboard","","Quick Actions & Statistics","","","","","","",""
"dashboard.quick_actions","Dashboard","","Quick Actions","","","","","","",""
"dashboard.upgrade_required","Dashboard","","Upgrade required","","","","","","",""
"dashboard.feature_coming_soon","Dashboard","","Feature coming soon","","","","","","",""
"dashboard.parent_requests","Dashboard","","Parent Link Requests","","","","","","",""
"dashboard.birthday_donations.title","Dashboard","","Birthday Donations","","","","","","",""
"dashboard.birthday_donations.subtitle","Dashboard","","Record today's R25 donation for birthday packs.","","","","","","",""
"dashboard.birthday_donations.principal_subtitle","Dashboard","","Track daily and monthly birthday pack contributions.","","","","","","",""
"dashboard.birthday_donations.today_label","Dashboard","","Today","","","","","","",""
"dashboard.birthday_donations.expected_amount","Dashboard","","Expected","","","","","","",""
"dashboard.birthday_donations.total_received","Dashboard","","Received","","","","","","",""
"dashboard.birthday_donations.remaining","Dashboard","","Remaining","","","","","","",""
"dashboard.birthday_donations.record_button","Dashboard","","Record Donation","","","","","","",""
"dashboard.birthday_donations.record_error","Dashboard","","Failed to record donation.","","","","","","",""
"dashboard.birthday_donations.no_birthdays","Dashboard","","No birthdays today. Donation register is closed.","","","","","","",""
"dashboard.birthday_donations.limit_warning","Dashboard","","More than two birthdays detected. Please contact admin to correct the roster.","","","","","","",""
"dashboard.birthday_donations.amount_label","Dashboard","","Donation amount","","","","","","",""
"dashboard.birthday_donations.amount_error","Dashboard","","Enter a valid amount.","","","","","","",""
"dashboard.birthday_donations.method_label","Dashboard","","Payment method","","","","","","",""
"dashboard.birthday_donations.note_label","Dashboard","","Notes (optional)","","","","","","",""
"dashboard.birthday_donations.note_placeholder","Dashboard","","Add any notes...","","","","","","",""
"dashboard.birthday_donations.none_today","Dashboard","","No birthdays today.","","","","","","",""
"dashboard.birthday_donations.no_entries","Dashboard","","No donations recorded yet.","","","","","","",""
"dashboard.birthday_donations.recent_title","Dashboard","","Today's entries","","","","","","",""
"dashboard.birthday_donations.month_label","Dashboard","","This month","","","","","","",""
"dashboard.birthday_donations.month_progress","Dashboard","percent, days","{{percent}}% collected across {{days}} birthday days","","","","","","",""
"dashboard.birthday_donations.refresh","Dashboard","","Refresh","","","","","","",""
"dashboard.birthday_donations.no_org","Dashboard","","Connect your school profile to track donations.","","","","","","",""
"dashboard.birthday_donations.methods.cash","Dashboard","","Cash","","","","","","",""
"dashboard.birthday_donations.methods.eft","Dashboard","","EFT","","","","","","",""
"dashboard.birthday_donations.methods.card","Dashboard","","Card","","","","","","",""
"dashboard.birthday_donations.methods.other","Dashboard","","Other","","","","","","",""
"dashboard.birthday_donations.mark_unpaid","Dashboard","","Mark unpaid","","","","","","",""
"dashboard.birthday_donations.confirm_unpaid_title","Dashboard","","Mark unpaid?","","","","","","",""
"dashboard.birthday_donations.confirm_unpaid_message","Dashboard","name","This will remove the payment for {{name}}.","","","","","","",""
"dashboard.birthday_donations.confirm_unpaid_cta","Dashboard","","Mark unpaid","","","","","","",""
"dashboard.ai_teaching_tools","Dashboard","","🤖 AI Teaching Tools","","","","","","",""
"dashboard.my_classes","Dashboard","","📚 My Classes","","","","","","",""
"dashboard.recent_assignments","Dashboard","","📝 Recent Homework Assignments","","","","","","",""
"dashboard.upcoming_events","Dashboard","","📅 Upcoming Events","","","","","","",""
"dashboard.active_enrollments","Dashboard","","Active Enrollments","","","","","","",""
"dashboard.all_caught_up","Dashboard","","All caught up!","","","","","","",""
"dashboard.calendar","Dashboard","","Calendar","","","","","","",""
"dashboard.financial_summary","Dashboard","","Financial Summary","","","","","","",""
"dashboard.manage_calendar","Dashboard","","Manage Calendar","","","","","","",""
"dashboard.manage_classes","Dashboard","","Manage Classes","","","","","","",""
